MitarbeiterID;_Antwort-ID;Resume-Code;Start;Datum und Zeit;Teilnahmestatus;5. Bitte beantworten Sie jede der nachfolgenden Fragen;Meine Arbeit ist für mich nur noch Routine, ich habe keinen persönlichen Bezug dazu.;Es fällt mir immer schwerer, mich bei der Arbeit auf andere Menschen einzustellen.;Ich kann anderen Menschen bei meiner Arbeit immer weniger Wertschätzung entgegen bringen.;Meine Kunden/Kollegen sind mir zunehmend gleichgültig.;Ich bemerke, dass ich in meinem Arbeitsalltag immer zynischer werde.;Ich lasse nichts mehr an mich herankommen.;Ich fühle mich häufig müde oder ausgelaugt.;Es fällt mir schwer, mich zu meiner Arbeit aufzuraffen.;Ich bin oft gereizt.;Ich fühle mich häufig körperlich geschwächt.;Meine Arbeit macht mir keine Freude mehr;Ich fühle mich häufig emotional erschöpft.;Ich erhalte kaum positive Rückmeldungen über meine Arbeitsleistung.;Ich zweifle häufig daran, dass meine Arbeit sinnvoll ist.;Die Anforderungen an mich sind in den letzten Jahren immer höher geworden;Ich habe das Gefühl, dass ich immer mehr mache und trotzdem immer weniger bewältige.;Egal, wie sehr ich mich bemühe, ich erreiche nichts.;Ich glaube, dass alle meine Anstrengungen letztlich wirkungslos bleibe;6. Auf einer Skala von 1 (sehr schlecht) bis 10 (sehr gut) würde ich meine Stimmung seit der letzten Umfrage wie folgt bewerten:
1;64039275;3D129CF;15.01.2020 12:26;15.01.2020 12:32;teilgenommen und beendet;;1;5;4;3;2;4;3;0;1;4;5;2;4;2;5;4;5;1;6
2;64039276;3D129D0;15.01.2020 12:26;15.01.2020 12:32;teilgenommen und beendet;;2;3;4;5;4;3;2;5;5;5;0;1;2;4;5;0;4;4;4
3;64039277;3D129D1;15.01.2020 12:26;15.01.2020 12:32;teilgenommen und beendet;;2;4;4;2;5;5;4;2;2;0;1;2;2;1;4;4;1;2;5
4;64039278;3D129D2;15.01.2020 12:26;15.01.2020 12:32;teilgenommen und beendet;;5;0;0;5;2;2;2;2;2;0;1;0;2;0;2;4;3;5;3
5;64039279;3D129D3;15.01.2020 12:26;15.01.2020 12:32;teilgenommen und beendet;;5;3;4;2;1;4;3;4;0;1;1;4;5;4;2;4;0;4;10
6;64039280;3D129D4;15.01.2020 12:26;15.01.2020 12:32;teilgenommen und beendet;;2;5;5;2;5;3;1;3;0;2;4;0;3;3;1;4;5;3;7
7;64039281;3D129D5;15.01.2020 12:26;15.01.2020 12:32;teilgenommen und beendet;;1;3;1;0;3;3;0;0;4;4;4;4;3;5;5;1;0;0;5
8;64039282;3D129D6;15.01.2020 12:26;15.01.2020 12:32;teilgenommen und beendet;;5;2;4;2;1;3;3;2;2;1;0;5;4;3;0;2;0;1;3
9;64039283;3D129D7;15.01.2020 12:26;15.01.2020 12:32;teilgenommen und beendet;;5;0;0;3;2;3;4;3;3;0;5;3;1;4;2;2;4;2;5
10;64039284;3D129D8;15.01.2020 12:26;15.01.2020 12:32;teilgenommen und beendet;;2;0;0;2;3;2;3;4;3;5;2;1;4;3;4;0;1;0;5
11;64039285;3D129D9;15.01.2020 12:26;15.01.2020 12:32;teilgenommen und beendet;;4;3;0;5;1;1;3;3;1;2;0;5;4;5;2;4;5;5;9
12;64039286;3D129DA;15.01.2020 12:26;15.01.2020 12:32;teilgenommen und beendet;;1;2;2;3;2;4;1;5;2;4;0;3;5;2;1;0;2;4;7
13;64039287;3D129DB;15.01.2020 12:26;15.01.2020 12:32;teilgenommen und beendet;;3;4;4;1;2;4;5;5;3;1;1;3;5;3;4;3;3;0;6
14;64039288;3D129DC;15.01.2020 12:26;15.01.2020 12:32;teilgenommen und beendet;;5;0;4;1;2;5;2;5;0;3;5;5;4;0;1;5;5;5;1
15;64039289;3D129DD;15.01.2020 12:26;15.01.2020 12:32;teilgenommen und beendet;;5;0;5;2;3;2;3;2;4;5;1;3;3;1;4;5;0;3;2
16;64039290;3D129DE;15.01.2020 12:26;15.01.2020 12:32;teilgenommen und beendet;;3;3;2;1;3;2;1;3;3;2;1;2;3;0;0;4;5;1;6
17;64039291;3D129DF;15.01.2020 12:26;15.01.2020 12:32;teilgenommen und beendet;;3;4;1;2;1;5;0;2;0;4;1;3;1;5;3;5;1;4;9
18;64039292;3D129E0;15.01.2020 12:26;15.01.2020 12:32;teilgenommen und beendet;;5;4;0;3;4;1;3;0;2;5;3;4;5;5;2;0;4;1;8
19;64039293;3D129E1;15.01.2020 12:26;15.01.2020 12:32;teilgenommen und beendet;;0;0;0;2;3;3;4;3;4;4;5;1;3;1;1;5;2;2;1
20;64039294;3D129E2;15.01.2020 12:26;15.01.2020 12:32;teilgenommen und beendet;;4;5;4;5;4;5;1;1;0;2;3;4;3;3;2;0;3;3;9
