_Antwort-ID;Resume-Code;Start;Datum und Zeit;Teilnahmestatus;1. Welche Rolle haben Sie?;5. Bitte beantworten Sie die unten stehenden Fragen.;In unserem Team ist allen klar, was wir erreichen wollen.;Wir können uns aufeinander verlassen.;Wir treffen uns ausreichend häufig, um effektiv zu kommunizieren und die Aufgaben zu koordinieren.;Die Teammitglieder bieten einander bei auftretenden Schwierigkeiten oder Engpässen Hilfe an.;Alle sind jederzeit aufgeschlossen gegenüber neuen Ideen.;Alle können offen über Fehler sprechen.;Unser Team überprüft regelmäßig den Fortschritt bei der Erreichung gesetzter Ziele.;Die Teamleitung ist für die Teammitglieder ausreichend ansprechbar, um Probleme oder Schwierigkeiten zu diskutieren.;Die Teamleitung ist aufgeschlossen ggü. Verbesserungsvorschlägen der Teammitglieder.;Die Teamleitung macht jederzeit deutlich, welche Ergebnisse und Leistungen erwartet werden.;Wenn es besonders schwierige oder anstrengende Projekte gibt, ermutigt und unterstützt die Teamleitung das Team.;Die Teamleitung erkennt gute Leistungen und besondere Anstrengungen an.;6. Wie wohl fühlen Sie sich im Team auf einer Skala von 1 (sehr unwohl) bis 10 (sehr wohl);8. Mit welchen Schlagworten / Adjektiven würden Sie die Stimmung im Team beschreiben?;9. Welche Konflikte existieren in ihrem Team?;10. Wie würden Sie ihr Verhältnis zu ihrem direkten Vorgesetzen charakterisieren?
64038237;3D125C1;20.04.2019 09:26;20.04.2019 09:26;teilgenommen und beendet;Teamleiter;;5;2;1;4;1;1;4;4;2;4;1;2;10;;;mei chef ist schlimmer als Stromberg
64038238;3D125C2;20.04.2019 09:26;20.04.2019 09:26;teilgenommen und beendet;Mitarbeiter;;5;1;2;4;5;1;2;3;4;3;2;4;10;;manche Kollegen setzen andere unter Druck;Ein Diktator ist das!
64038239;3D125C3;20.04.2019 09:26;20.04.2019 09:26;teilgenommen und beendet;Mitarbeiter;;3;4;3;3;2;4;4;2;2;5;4;5;4;geil, super toll, hervorragend;;Der ist ganz klar in Arschloch, mehr braucht man nicht sagen
64038240;3D125C4;20.04.2019 09:26;20.04.2019 09:26;teilgenommen und beendet;Teamleiter;;3;2;3;3;1;4;1;3;2;4;5;3;4;;Mitarbeiter halten nur zusammen, wenn es gegen mich geht;Den würde ich am liebsten umbringen
64038241;3D125C5;20.04.2019 09:26;20.04.2019 09:26;teilgenommen und beendet;Mitarbeiter;;2;5;1;4;2;2;3;4;1;2;4;4;8;ok;;Hoffetbnlich verschwindet der kasper bald
64038242;3D125C6;20.04.2019 09:26;20.04.2019 09:26;teilgenommen und beendet;Mitarbeiter;;3;1;3;1;3;5;1;5;1;1;3;1;3;;;Der arbeitet nix und schiebt uns auch noch die schuld in die schuhe wenn man nicht klappt
64038243;3D125C7;20.04.2019 09:26;20.04.2019 09:26;teilgenommen und beendet;Mitarbeiter;;2;1;3;4;4;3;5;4;5;3;3;1;4;;Kollegen übergehen sich gegenseitig;der kümmert sich gar nicht um uns
64038244;3D125C8;20.04.2019 09:26;20.04.2019 09:26;teilgenommen und beendet;Mitarbeiter;;5;4;5;5;4;2;1;3;3;5;3;4;4;geht so;;mei chef ist schlimmer als Stromberg
64038245;3D125C9;20.04.2019 09:26;20.04.2019 09:26;teilgenommen und beendet;Mitarbeiter;;4;4;2;2;3;4;1;5;2;4;3;4;9;;Die abteilungen behindern sich gegenseitig ;Ein Diktator ist das!
64038246;3D125CA;20.04.2019 09:26;20.04.2019 09:26;teilgenommen und beendet;Mitarbeiter;;1;5;3;4;5;5;1;5;4;5;4;2;8;passt schon;jeder versucht hier den andren zu maipulieren;Der ist ganz klar in Arschloch, mehr braucht man nicht sagen
64038247;3D125CB;20.04.2019 09:26;20.04.2019 09:26;teilgenommen und beendet;Mitarbeiter;;4;2;2;4;3;1;4;3;1;1;2;3;6;sehr gut;ein Kollege schaut mich immer so komsich an, ganz schlimmer typ ist das!;Den würde ich am liebsten umbringen
64038248;3D125CC;20.04.2019 09:26;20.04.2019 09:26;teilgenommen und beendet;Mitarbeiter;;1;4;4;5;3;4;2;2;3;1;5;3;3;mehr als toll;ich hab keinen Bock auf die tändigen Reibereien hier;Hoffetbnlich verschwindet der kasper bald
64038249;3D125CD;20.04.2019 09:26;20.04.2019 09:26;teilgenommen und beendet;Mitarbeiter;;5;2;5;2;5;2;1;1;4;4;2;1;7;gut;;Der arbeitet nix und schiebt uns auch noch die schuld in die schuhe wenn man nicht klappt
64038250;3D125CE;20.04.2019 09:26;20.04.2019 09:26;teilgenommen und beendet;Mitarbeiter;;4;4;3;2;2;4;3;1;5;1;1;3;3;;persönliche Konflikte existieren;der kümmert sich gar nicht um uns
64038251;3D125CF;20.04.2019 09:26;20.04.2019 09:26;teilgenommen und beendet;Mitarbeiter;;2;3;2;1;4;5;4;1;5;2;5;4;5;supertoll;;Der beste chef de ich je Hatte
64038252;3D125D0;20.04.2019 09:26;20.04.2019 09:26;teilgenommen und beendet;Mitarbeiter;;4;3;5;5;1;2;3;5;3;5;1;5;8;ahnsinnig gut;Es ist sehr schön hier und deswegen gibt es auch keine Konflikte;Ich mag ihn ehr gerne
64038253;3D125D1;20.04.2019 09:26;20.04.2019 09:26;teilgenommen und beendet;Mitarbeiter;;3;3;2;4;3;1;3;4;2;4;2;2;7;;keine;sehr hilfbereit und zuvorkommend
64038254;3D125D2;20.04.2019 09:26;20.04.2019 09:26;teilgenommen und beendet;Mitarbeiter;;1;1;1;2;3;2;1;5;5;2;5;5;3;harmonisch;Mir gefällt es hier sehr gt und ich habe mit niemandem einen Konflikt;fachlich absolut überragend
64038255;3D125D3;20.04.2019 09:26;20.04.2019 09:26;teilgenommen und beendet;Mitarbeiter;;1;1;5;3;5;5;5;4;4;2;3;3;7;total scheiße;;
64038256;3D125D4;20.04.2019 09:26;20.04.2019 09:26;teilgenommen und beendet;Mitarbeiter;;2;5;1;5;4;5;3;1;2;2;2;2;2;richtig schlimm;Mobbing;der Sack nervt mich ständig
